Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
RBL2,1,0,0,0,10,1,0,0,0,12,11,11
RC3H2,1,1,0,0,9,1,0,0,0,12,11,11
RSAD2,0,0,0,0,11,1,0,0,0,12,11,11
SCEL,0,0,0,0,11,0,0,1,0,12,11,11
SEPT14,0,0,0,0,10,1,0,1,0,12,11,11
SIN3A,1,0,0,0,10,1,0,0,0,12,11,11
SLC17A4,1,0,0,0,10,1,0,0,0,12,11,11
SLC43A3,0,0,0,0,11,1,0,0,0,12,11,11
SLC4A5,0,0,0,0,12,0,0,0,0,12,11,11
SLC5A7,0,0,0,0,11,1,0,0,0,12,11,11
SLCO2B1,0,0,0,0,10,0,0,1,1,12,11,11
SUGCT,0,1,0,0,8,2,0,1,0,12,11,11
SUPT6H,1,0,0,0,9,1,0,1,0,12,11,11
SYMPK,0,0,0,0,10,0,0,2,0,12,11,11
TARBP1,0,0,0,0,12,0,0,0,0,12,11,11
TNRC6C,1,0,0,0,11,0,0,0,0,12,11,11
TRAT1,0,0,0,0,10,0,1,1,0,12,11,11
TTLL2,0,0,0,0,11,1,0,0,0,12,11,11
TTLL7,0,0,0,0,10,2,0,0,0,12,11,11
TYW1,0,0,0,0,11,1,0,0,0,12,11,11
UBN2,0,0,0,0,12,0,0,0,0,12,11,11
UGT2B4,0,0,0,0,12,0,0,0,0,12,11,11
UNC5A,0,0,0,0,12,0,0,0,0,12,11,11
VEGFC,1,0,0,0,9,2,0,0,0,12,11,11
WWP1,1,0,0,0,10,0,0,1,0,12,11,11
ZFP37,0,0,0,0,12,0,0,0,0,12,11,11
ZFYVE28,1,0,0,0,11,0,0,0,0,12,11,11
ZNF483,0,0,0,0,11,1,0,0,0,12,11,11
ZNF578,0,0,0,0,10,2,0,0,0,12,11,11
ZNF611,0,0,0,0,10,1,0,1,0,12,11,11
ZNF708,0,1,0,0,9,2,0,0,0,12,11,11
ACTN4,0,0,0,0,8,2,0,1,0,11,11,11
ADAM12,0,0,0,0,10,1,0,0,0,11,11,11
ADAM28,2,0,0,0,8,0,0,1,0,11,11,11
ADAMTS15,2,0,0,0,9,0,0,0,0,11,11,11
ADGRE3,1,0,0,0,10,0,0,0,0,11,11,11
AGBL2,0,0,0,0,8,3,0,0,0,11,11,11
ALDH1L1,0,0,0,0,11,0,0,0,0,11,11,11
ANAPC1,0,0,0,0,10,1,0,0,0,11,11,11
APAF1,0,0,0,0,11,0,0,0,0,11,11,11
ARHGAP30,0,1,0,0,9,1,0,0,0,11,11,11
ARHGEF17,0,0,0,0,11,0,0,0,0,11,11,11
ARMC3,1,0,0,0,9,0,0,1,0,11,11,11
ASIC5,1,0,0,0,9,0,0,1,0,11,11,11
ATAD2B,0,0,0,0,6,3,0,2,0,11,11,11
ATP13A3,0,1,0,0,10,0,0,0,0,11,11,11
ATP2B2,1,0,0,0,10,0,0,0,0,11,11,11
ATP6V1B1,0,0,0,0,6,3,0,2,0,11,11,11
BAZ2A,1,0,0,0,9,0,0,1,0,11,11,11
BCAS3,0,0,0,0,7,3,0,1,0,11,11,11
BCLAF1,0,0,0,0,10,1,0,0,0,11,11,11
BEND3,0,0,0,0,10,0,0,1,0,11,11,11
BFSP2,0,0,0,0,10,0,0,1,0,11,11,11
BMP4,0,1,0,0,10,0,0,0,0,11,11,11
BPIFB2,0,0,0,0,11,0,0,0,0,11,11,11
BPIFB6,0,0,0,0,9,2,0,0,0,11,11,11
BRD8,1,0,0,0,8,1,0,1,0,11,11,11
BTN1A1,0,0,0,0,11,0,0,0,0,11,11,11
C8B,0,0,0,0,10,1,0,0,0,11,11,11
CA10,0,1,0,0,8,2,0,0,0,11,11,11
CARD11,1,0,0,0,9,0,0,1,0,11,11,11
CASP8,0,0,0,0,6,2,0,2,1,11,11,11
CATSPERG,0,1,0,0,9,1,0,0,0,11,11,11
CD101,0,0,0,0,11,0,0,0,0,11,11,11
CD226,0,0,0,0,11,0,0,0,0,11,11,11
CD84,0,0,0,0,10,0,0,1,0,11,11,11
CDCP2,1,0,0,0,10,0,0,0,0,11,11,11
CDHR3,0,0,0,0,9,1,0,1,0,11,11,11
CDK14,1,0,0,0,7,0,0,3,0,11,11,11
CFAP69,0,0,0,0,11,0,0,0,0,11,11,11
CFAP74,0,0,0,0,10,1,0,0,0,11,11,11
CHD4,0,1,0,0,10,0,0,0,0,11,11,11
CHRDL1,0,0,0,0,8,1,0,2,0,11,11,11
CLEC4F,1,0,0,0,10,0,0,0,0,11,11,11
CLIP2,0,0,0,0,10,1,0,0,0,11,11,11
CLSTN3,0,0,0,0,10,0,0,1,0,11,11,11
CNTRL,0,0,0,0,9,0,0,2,0,11,11,11
CXorf66,1,0,0,0,9,1,0,0,0,11,11,11
DAPK1,1,0,0,0,10,0,0,0,0,11,11,11
DCLK1,0,0,0,0,11,0,0,0,0,11,11,11
ECT2L,0,0,0,0,10,0,0,1,0,11,11,11
EEA1,0,0,0,0,10,1,0,0,0,11,11,11
EGF,0,0,0,0,10,0,0,1,0,11,11,11
ENOX2,1,0,0,0,8,1,0,1,0,11,11,11
EPB41L5,0,0,0,0,11,0,0,0,0,11,11,11
ERCC6,1,0,0,0,10,0,0,0,0,11,11,11
ESF1,0,0,0,0,10,1,0,0,0,11,11,11
ESR1,1,0,0,0,10,0,0,0,0,11,11,11
ESX1,0,0,0,0,11,0,0,0,0,11,11,11
FAM129C,0,0,0,0,10,1,0,0,0,11,11,11
FAM184A,0,0,0,0,11,0,0,0,0,11,11,11
FAM188B,1,0,0,0,9,1,0,0,0,11,11,11
FANCA,1,0,0,0,8,0,0,2,0,11,11,11
FASN,0,0,0,0,10,0,0,1,0,11,11,11
FBXO11,0,1,0,0,10,0,0,0,0,11,11,11
FCAR,0,0,0,0,11,0,0,0,0,11,11,11
FERD3L,1,0,0,0,9,1,0,0,0,11,11,11
FGB,0,0,0,0,11,0,0,0,0,11,11,11
FGD3,0,0,0,0,9,0,0,2,0,11,11,11
FHDC1,0,0,0,0,9,2,0,0,0,11,11,11
FTO,1,0,0,0,9,1,0,0,0,11,11,11
GABRA1,0,0,0,0,10,1,0,0,0,11,11,11
GABRA5,0,0,0,0,11,0,0,0,0,11,11,11
GABRQ,0,0,0,0,10,0,0,1,0,11,11,11
GALNT14,0,0,0,0,11,0,0,0,0,11,11,11
GAS7,1,0,0,0,10,0,0,0,0,11,11,11
GATA3,0,0,0,0,11,0,0,0,0,11,11,11
GDA,1,0,0,0,8,1,0,1,0,11,11,11
GEN1,0,0,0,0,7,3,0,1,0,11,11,11
GFI1,1,0,0,0,9,1,0,0,0,11,11,11
GIMAP1,0,0,0,0,11,0,0,0,0,11,11,11
GLG1,0,0,0,0,10,0,0,1,0,11,11,11
GPAM,0,1,0,0,8,0,0,2,0,11,11,11
GPLD1,1,0,0,0,10,0,0,0,0,11,11,11
GPR139,0,0,0,0,11,0,0,0,0,11,11,11
HCFC2,0,0,0,0,10,1,0,0,0,11,11,11
HDLBP,1,0,1,0,7,2,0,0,0,11,11,11
HEG1,1,0,0,0,10,0,0,0,0,11,11,11
HOOK1,0,0,0,0,9,1,0,1,0,11,11,11
HTR2C,0,0,0,0,10,0,0,0,1,11,11,11
IFT122,0,0,0,0,10,1,0,0,0,11,11,11
IGDCC4,0,0,1,0,8,1,0,1,0,11,11,11
IGHE,1,0,1,1,7,1,0,0,0,11,11,11
IGHG3,0,0,0,0,11,0,0,0,0,11,11,11
IGHV1-45,0,0,0,0,11,0,0,0,0,11,11,11
IKZF3,1,0,0,0,9,1,0,0,0,11,11,11
IRF8,0,0,0,0,11,0,0,0,0,11,11,11
ISX,0,0,0,0,11,0,0,0,0,11,11,11
ITIH1,0,0,0,0,11,0,0,0,0,11,11,11
KCNB1,1,0,0,0,9,1,0,0,0,11,11,11
KCNH3,0,0,0,0,9,2,0,0,0,11,11,11
KDM7A,0,0,0,0,11,0,0,0,0,11,11,11
LAMB2,0,0,0,0,10,1,0,0,0,11,11,11
LARP4B,1,0,0,0,9,1,0,0,0,11,11,11
LMTK2,0,0,0,0,10,1,0,0,0,11,11,11
LRIF1,0,0,0,0,10,1,0,0,0,11,11,11
LRIG3,0,0,0,0,10,0,0,1,0,11,11,11
LRRC6,0,0,0,0,11,0,0,0,0,11,11,11
LRRN2,1,0,0,0,10,0,0,0,0,11,11,11
MANEA,0,0,0,0,11,0,0,0,0,11,11,11
MAP3K9,0,1,0,0,9,0,0,1,0,11,11,11
MAPK4,0,0,0,0,10,1,0,0,0,11,11,11
MAST1,0,0,0,0,11,0,0,0,0,11,11,11
MIB1,0,0,0,0,10,1,0,0,0,11,11,11
MICAL3,0,0,0,0,9,0,0,2,0,11,11,11
MLK4,0,0,0,0,11,0,0,0,0,11,11,11
MORC4,1,0,0,0,10,0,0,0,0,11,11,11
MTMR1,1,1,0,0,7,2,0,0,0,11,11,11
MTMR11,1,0,0,0,10,0,0,0,0,11,11,11
MTMR4,2,0,0,0,8,1,0,0,0,11,11,11
MYBPC2,0,0,0,0,9,2,0,0,0,11,11,11
NAALADL2,1,0,0,0,10,0,0,0,0,11,11,11
NAP1L3,0,1,0,0,8,2,0,0,0,11,11,11
NCOA3,1,0,0,0,8,2,0,0,0,11,11,11
NCR1,0,0,0,0,10,0,0,1,0,11,11,11
NEFM,0,0,0,0,11,0,0,0,0,11,11,11
NEUROD1,0,0,0,0,11,0,0,0,0,11,11,11
NEUROD4,0,0,0,0,10,0,0,1,0,11,11,11
NFASC,0,0,0,0,10,1,0,0,0,11,11,11
NFKBIZ,2,0,0,0,8,0,0,1,0,11,11,11
NPFFR2,0,0,0,0,11,0,0,0,0,11,11,11
NR5A2,0,0,0,0,10,1,0,0,0,11,11,11
NTRK2,0,0,0,0,8,2,0,1,0,11,11,11
NXF5,0,0,0,0,11,0,0,0,0,11,11,11
OCRL,0,0,0,0,10,0,0,1,0,11,11,11
OFD1,0,0,0,0,11,0,0,0,0,11,11,11
OPN5,0,0,0,0,10,0,0,1,0,11,11,11
OPRL1,0,0,0,0,11,0,0,0,0,11,11,11
OR11H4,0,0,0,0,9,2,0,0,0,11,11,11
OR1M1,1,0,0,0,10,0,0,0,0,11,11,11
OR2A12,1,0,0,0,10,0,0,0,0,11,11,11
OR4D11,0,0,0,0,11,0,0,0,0,11,11,11
OR51E2,0,0,0,0,11,0,0,0,0,11,11,11
OR52J3,1,0,0,0,10,0,0,0,0,11,11,11
OR5B21,1,0,0,0,10,0,0,0,0,11,11,11
OR6S1,1,0,0,0,9,1,0,0,0,11,11,11
OR8D1,0,0,0,0,10,1,0,0,0,11,11,11
OR8D2,0,0,0,0,10,1,0,0,0,11,11,11
OR8K1,0,0,0,0,10,1,0,0,0,11,11,11
OXR1,0,0,0,0,9,1,0,1,0,11,11,11
P3H2,1,0,0,0,9,1,0,0,0,11,11,11
PAN3,0,0,0,0,7,2,1,1,0,11,11,11
PARPBP,0,0,0,0,10,1,0,0,0,11,11,11
PCDH1,0,0,0,0,11,0,0,0,0,11,11,11
PCDHA12,0,0,0,0,11,0,0,0,0,11,11,11
PCDHGA10,0,0,0,0,11,0,0,0,0,11,11,11
PCDHGB6,0,0,0,0,8,3,0,0,0,11,11,11
PFAS,0,0,0,0,10,0,0,1,0,11,11,11
PIK3C3,0,0,0,0,10,1,0,0,0,11,11,11
PKD2L1,0,0,0,0,9,0,0,2,0,11,11,11
PLEKHG3,1,0,0,0,9,1,0,0,0,11,11,11
PLOD2,0,0,0,0,10,1,0,0,0,11,11,11
POLR2B,0,0,0,0,9,1,0,1,0,11,11,11
POP1,1,0,0,0,8,2,0,0,0,11,11,11
POU4F2,0,0,0,0,11,0,0,0,0,11,11,11
PPP2R1A,0,0,0,0,10,1,0,0,0,11,11,11
PRDM1,0,0,0,0,11,0,0,0,0,11,11,11
PRDM14,0,0,0,0,9,2,0,0,0,11,11,11
PRG4,0,0,0,0,11,0,0,0,0,11,11,11
PRODH2,1,0,0,0,7,2,0,1,0,11,11,11
PSKH2,0,0,0,0,10,0,0,1,0,11,11,11
R3HDM1,0,0,0,0,10,1,0,0,0,11,11,11
RGPD8,1,0,0,0,10,0,0,0,0,11,11,11
RGS3,0,0,0,0,10,1,0,0,0,11,11,11
RGS6,2,0,0,0,9,0,0,0,0,11,11,11
RIPK4,0,2,0,0,7,2,0,0,0,11,11,11
ROCK2,1,1,0,0,7,2,0,0,0,11,11,11
ROR2,0,0,0,0,10,1,0,0,0,11,11,11
RPGRIP1L,0,0,0,0,10,0,0,1,0,11,11,11
RTN4,1,0,0,0,9,1,0,0,0,11,11,11
SATB1,0,0,0,0,10,0,0,1,0,11,11,11
SCAF4,1,0,0,0,9,1,0,0,0,11,11,11
SFSWAP,0,0,0,0,11,0,0,0,0,11,11,11
SGK2,0,0,0,0,10,1,0,0,0,11,11,11
SH2D3C,0,0,0,0,10,0,0,1,0,11,11,11
SH3GL2,0,0,0,0,10,1,0,0,0,11,11,11
SH3TC1,1,0,0,0,7,2,0,1,0,11,11,11
SHOX,0,0,0,0,11,0,0,0,0,11,11,11
SHOX2,0,0,0,0,11,0,0,0,0,11,11,11
SLC22A9,0,0,0,0,11,0,0,0,0,11,11,11
SLC24A2,1,0,0,0,10,0,0,0,0,11,11,11
SLC5A1,0,0,0,0,9,0,0,1,1,11,11,11
SLC5A4,0,0,0,0,11,0,0,0,0,11,11,11
SLC6A17,2,0,0,0,5,4,0,0,0,11,11,11
SMARCA2,1,0,0,0,10,0,0,0,0,11,11,11
SMC6,0,0,0,0,11,0,0,0,0,11,11,11
SMG7,0,0,0,0,11,0,0,0,0,11,11,11
SOS2,1,1,0,0,8,1,0,0,0,11,11,11
SOX14,0,1,0,0,10,0,0,0,0,11,11,11
SP4,0,0,0,0,7,3,0,1,0,11,11,11
SPICE1,1,0,0,0,9,1,0,0,0,11,11,11
SRGAP3,0,0,0,0,11,0,0,0,0,11,11,11
ST6GAL2,0,0,0,0,11,0,0,0,0,11,11,11
STIL,0,0,0,0,9,2,0,0,0,11,11,11
STRC,0,0,0,0,8,2,0,1,0,11,11,11
SYN3,0,0,0,0,10,1,0,0,0,11,11,11
SYNJ2,0,0,0,0,11,0,0,0,0,11,11,11
SYNRG,0,0,0,0,7,3,0,1,0,11,11,11
SYT16,1,0,0,0,9,1,0,0,0,11,11,11
TAAR1,0,0,0,0,10,1,0,0,0,11,11,11
TACC2,0,1,0,0,7,2,0,1,0,11,11,11
TAOK1,0,0,0,0,6,4,0,1,0,11,11,11
TAOK3,1,0,0,0,9,1,0,0,0,11,11,11
TDRD9,0,0,0,1,9,1,0,0,0,11,11,11
TEC,0,0,0,0,8,2,0,1,0,11,11,11
TNRC6B,0,0,0,0,9,2,0,0,0,11,11,11
TOPBP1,1,0,0,0,7,1,0,2,0,11,11,11
TP63,1,0,0,0,10,0,0,0,0,11,11,11
TRERF1,0,1,0,0,8,2,0,0,0,11,11,11
TRPC7,0,0,0,0,11,0,0,0,0,11,11,11
TTC13,0,0,0,0,8,2,0,1,0,11,11,11
TUBGCP5,0,0,0,0,9,1,0,1,0,11,11,11
TYK2,0,0,0,0,10,0,0,1,0,11,11,11
UBN1,0,0,1,0,10,0,0,0,0,11,11,11
UBR2,0,0,0,0,9,2,0,0,0,11,11,11
UGGT1,1,0,0,0,10,0,0,0,0,11,11,11
VEZT,0,1,0,0,10,0,0,0,0,11,11,11
VWA8,0,0,0,0,9,2,0,0,0,11,11,11
WAPAL,0,0,0,0,11,0,0,0,0,11,11,11
WDR36,0,1,0,0,9,1,0,0,0,11,11,11
WDR60,1,1,0,0,8,0,0,1,0,11,11,11
WNK2,2,1,0,0,7,1,0,0,0,11,11,11
WT1,0,0,0,0,10,1,0,0,0,11,11,11
WWC1,0,0,0,0,8,3,0,0,0,11,11,11
ZBTB41,2,0,0,0,8,1,0,0,0,11,11,11
ZC4H2,1,0,0,0,9,1,0,0,0,11,11,11
ZCCHC6,0,0,0,0,10,1,0,0,0,11,11,11
ZGRF1,0,0,0,0,11,0,0,0,0,11,11,11
ZMIZ1,1,0,1,0,8,0,0,1,0,11,11,11
ZMYM3,1,0,0,0,10,0,0,0,0,11,11,11
ZMYM4,1,0,0,0,9,0,0,1,0,11,11,11
ZNF100,0,0,0,0,11,0,0,0,0,11,11,11
ZNF274,0,0,0,0,10,1,0,0,0,11,11,11
ZNF280A,0,0,0,0,9,2,0,0,0,11,11,11
ZNF382,1,0,0,0,10,0,0,0,0,11,11,11
ZNF493,0,0,0,0,10,1,0,0,0,11,11,11
ZNF507,0,1,0,0,10,0,0,0,0,11,11,11
ZNF518B,0,0,0,0,11,0,0,0,0,11,11,11
ZNF570,1,0,0,0,9,0,0,1,0,11,11,11
ZNF667,0,0,0,0,10,1,0,0,0,11,11,11
ZNF721,0,0,0,0,9,2,0,0,0,11,11,11
ZSWIM5,0,0,0,0,11,0,0,0,0,11,11,11
ZZZ3,0,0,0,0,11,0,0,0,0,11,11,11
ALDH1A2,0,0,0,0,10,2,0,1,0,13,10,10
CAMSAP2,0,0,1,0,12,0,0,0,0,13,10,10
DRC7,0,1,0,0,11,0,0,1,0,13,10,10
ECT2,1,1,0,0,10,1,0,0,0,13,10,10
MED1,0,0,0,0,13,0,0,0,0,13,10,10
ZNF646,1,0,0,0,12,0,0,0,0,13,10,10
ABCF3,1,0,0,0,9,1,0,1,0,12,10,10
ARAP3,1,0,0,0,8,2,0,1,0,12,10,10
BEND2,0,0,0,0,9,2,0,1,0,12,10,10
DLK1,0,0,0,0,12,0,0,0,0,12,10,10
ENOX1,0,0,0,0,12,0,0,0,0,12,10,10
GBA3,0,0,0,0,11,1,0,0,0,12,10,10
HIF3A,0,1,0,0,10,1,0,0,0,12,10,10
IPO11,0,0,0,0,11,1,0,0,0,12,10,10
KIAA1958,0,0,0,0,11,1,0,0,0,12,10,10
KTN1,0,1,0,1,8,0,0,2,0,12,10,10
LPIN1,4,0,0,0,6,2,0,0,0,12,10,10
OR5M3,1,0,0,0,11,0,0,0,0,12,10,10
PAX7,0,0,0,0,12,0,0,0,0,12,10,10
PNMA3,1,1,0,0,8,2,0,0,0,12,10,10
PSG1,0,0,0,0,12,0,0,0,0,12,10,10
RPS6KA2,0,0,0,0,10,1,0,1,0,12,10,10
STRIP2,0,0,0,0,12,0,0,0,0,12,10,10
ZNF645,1,0,0,0,11,0,0,0,0,12,10,10
ABLIM1,0,0,0,0,10,0,0,1,0,11,10,10
ADAR,0,0,0,0,10,1,0,0,0,11,10,10
AKNA,1,0,0,0,9,0,0,1,0,11,10,10
ARHGAP15,0,0,0,0,7,3,0,1,0,11,10,10
ASIC4,2,0,0,0,9,0,0,0,0,11,10,10
BACH2,0,0,0,0,11,0,0,0,0,11,10,10
BCL11A,0,0,0,0,10,1,0,0,0,11,10,10
BMPR2,0,0,0,0,11,0,0,0,0,11,10,10
C3AR1,0,0,0,0,9,2,0,0,0,11,10,10
C6orf58,0,0,0,0,9,1,0,1,0,11,10,10
CACNG3,0,0,0,0,11,0,0,0,0,11,10,10
CCDC40,0,0,0,0,9,2,0,0,0,11,10,10
CDK13,0,0,0,0,10,1,0,0,0,11,10,10
CHIT1,0,0,0,0,10,1,0,0,0,11,10,10
CHST6,0,0,0,0,11,0,0,0,0,11,10,10
CNTNAP3,0,0,0,0,10,1,0,0,0,11,10,10
COG6,0,0,0,0,7,1,0,3,0,11,10,10
CROCC,0,0,0,0,10,1,0,0,0,11,10,10
CSF3R,0,0,0,0,11,0,0,0,0,11,10,10
CYP2B6,1,0,0,0,9,1,0,0,0,11,10,10
DDX60,0,0,0,0,11,0,0,0,0,11,10,10
DLEC1,0,0,0,0,10,1,0,0,0,11,10,10
EVI5,0,0,0,0,11,0,0,0,0,11,10,10
EXOC2,1,0,0,0,6,1,0,3,0,11,10,10
EXOC4,0,1,0,0,9,1,0,0,0,11,10,10
FBXO40,0,0,0,0,10,1,0,0,0,11,10,10
FCHO1,1,0,0,0,10,0,0,0,0,11,10,10
FGF23,0,0,0,0,10,0,0,1,0,11,10,10
FHOD3,1,0,0,0,10,0,0,0,0,11,10,10
FIGNL1,0,0,0,0,11,0,0,0,0,11,10,10
FMO1,0,0,0,0,9,0,0,0,2,11,10,10
GABBR2,0,0,0,0,11,0,0,0,0,11,10,10
GLB1L2,0,0,0,0,8,0,0,3,0,11,10,10
GPR15,0,0,0,0,9,2,0,0,0,11,10,10
HERC5,0,0,0,0,8,1,1,1,0,11,10,10
HS6ST3,0,0,0,0,11,0,0,0,0,11,10,10
IGKV1D-43,0,0,0,0,9,2,0,0,0,11,10,10
IGKV3-15,0,0,0,0,11,0,0,0,0,11,10,10
IPO5,0,1,0,0,8,0,0,2,0,11,10,10
ITCH,1,0,0,0,10,0,0,0,0,11,10,10
ITGB8,0,0,0,0,10,1,0,0,0,11,10,10
JPH3,0,0,0,0,10,1,0,0,0,11,10,10
KANSL1,1,0,0,0,10,0,0,0,0,11,10,10
KCNJ16,0,0,0,0,9,1,0,1,0,11,10,10
KDM3B,0,1,0,0,9,1,0,0,0,11,10,10
KIF26A,1,0,0,0,9,1,0,0,0,11,10,10
KIF5C,1,0,0,0,9,0,0,1,0,11,10,10
KIR3DL1,1,0,0,0,9,1,0,0,0,11,10,10
KLHL6,0,0,0,0,9,1,1,0,0,11,10,10
LGR5,1,1,0,0,8,0,0,1,0,11,10,10
LRRC30,0,0,0,0,10,1,0,0,0,11,10,10
LRRN3,0,0,0,0,10,1,0,0,0,11,10,10
MAPKBP1,0,0,0,0,9,0,0,2,0,11,10,10
MARK2,1,0,0,0,10,0,0,0,0,11,10,10
MPP4,0,0,0,0,11,0,0,0,0,11,10,10
MROH5,1,0,0,0,6,0,0,4,0,11,10,10
MYOF,2,0,0,0,8,1,0,0,0,11,10,10
NR4A1,1,0,0,0,9,1,0,0,0,11,10,10
NRIP1,0,0,0,0,11,0,0,0,0,11,10,10
NT5DC3,0,0,0,0,10,1,0,0,0,11,10,10
NUAK1,0,0,0,0,11,0,0,0,0,11,10,10
OR10R2,0,1,0,0,10,0,0,0,0,11,10,10
OR10X1,0,0,0,0,11,0,0,0,0,11,10,10
OR5AR1,0,0,0,0,10,1,0,0,0,11,10,10
OR5K3,0,0,0,0,9,1,1,0,0,11,10,10
PARP9,0,0,0,0,10,0,0,1,0,11,10,10
PDGFRB,1,0,0,0,8,0,0,2,0,11,10,10
PDPR,0,0,0,0,11,0,0,0,0,11,10,10
PEG10,0,0,0,0,11,0,0,0,0,11,10,10
PER2,0,0,0,0,11,0,0,0,0,11,10,10
PHLDB2,0,0,0,0,10,1,0,0,0,11,10,10
PIK3R5,0,0,0,0,8,2,0,1,0,11,10,10
PLD1,0,0,0,0,10,1,0,0,0,11,10,10
PNLIPRP1,0,0,0,0,10,0,0,1,0,11,10,10
PNPLA6,1,0,0,0,9,1,0,0,0,11,10,10
PTH2R,0,1,0,1,8,1,0,0,0,11,10,10
PTPRF,0,0,0,0,11,0,0,0,0,11,10,10
PTPRN,1,0,0,0,9,0,0,1,0,11,10,10
RABGAP1L,1,0,0,0,8,2,0,0,0,11,10,10
RRP12,0,0,0,0,10,1,0,0,0,11,10,10
SEMA3C,0,0,0,0,9,1,0,1,0,11,10,10
SGCD,0,0,0,0,10,1,0,0,0,11,10,10
SGCE,1,1,1,0,7,1,0,0,0,11,10,10
SLC12A3,0,1,0,0,9,1,0,0,0,11,10,10
SLC1A6,0,0,0,0,11,0,0,0,0,11,10,10
SOCS6,1,0,0,0,10,0,0,0,0,11,10,10
SPIRE2,0,0,0,0,9,1,0,1,0,11,10,10
SUV420H1,0,0,0,0,10,1,0,0,0,11,10,10
SYNPO2,1,0,0,0,9,1,0,0,0,11,10,10
TCTN2,0,0,0,0,11,0,0,0,0,11,10,10
TLR7,0,0,0,0,10,1,0,0,0,11,10,10
TLR8,0,1,0,1,9,0,0,0,0,11,10,10
TMPRSS11F,0,0,0,0,10,1,0,0,0,11,10,10
UACA,0,0,0,0,11,0,0,0,0,11,10,10
ULK1,1,0,0,0,10,0,0,0,0,11,10,10
UMODL1,0,0,0,0,8,3,0,0,0,11,10,10
UNC45B,0,0,0,1,8,2,0,0,0,11,10,10
URGCP,1,0,0,0,10,0,0,0,0,11,10,10
USP7,0,0,0,0,10,1,0,0,0,11,10,10
VWCE,0,0,0,0,11,0,0,0,0,11,10,10
WFIKKN2,1,0,0,0,10,0,0,0,0,11,10,10
WIF1,0,0,0,0,8,2,0,1,0,11,10,10
ZFYVE9,1,0,0,0,9,1,0,0,0,11,10,10
ZKSCAN8,0,0,0,0,10,1,0,0,0,11,10,10
ZNF142,0,0,0,0,9,2,0,0,0,11,10,10
ZNF320,0,1,0,0,10,0,0,0,0,11,10,10
ZNF347,0,0,0,0,10,1,0,0,0,11,10,10
ZNF430,1,1,0,1,8,0,0,0,0,11,10,10
ZNF585A,0,0,1,0,10,0,0,0,0,11,10,10
ZNF658,0,0,0,0,11,0,0,0,0,11,10,10
ZNF84,0,0,0,0,11,0,0,0,0,11,10,10
ABCB7,0,0,0,0,9,0,0,1,0,10,10,10
ABCC1,1,0,0,0,9,0,0,0,0,10,10,10
ABCC10,0,0,0,0,8,1,0,1,0,10,10,10
ACSM3,0,0,0,0,9,0,0,1,0,10,10,10
ADAM32,1,0,0,0,9,0,0,0,0,10,10,10
ADAM33,0,0,0,0,9,1,0,0,0,10,10,10
ADCY3,0,0,0,0,9,1,0,0,0,10,10,10
ADRA1A,0,0,0,0,10,0,0,0,0,10,10,10
AGAP1,1,1,0,0,6,2,0,0,0,10,10,10
AGAP2,0,0,0,0,8,0,0,2,0,10,10,10
AHDC1,0,0,0,0,10,0,0,0,0,10,10,10
AKAP17A,0,0,0,0,9,1,0,0,0,10,10,10
AKAP4,0,0,0,0,10,0,0,0,0,10,10,10
ALLC,1,0,0,0,9,0,0,0,0,10,10,10
AMBN,1,0,0,0,8,0,1,0,0,10,10,10
AMOT,0,0,0,0,6,3,0,1,0,10,10,10
AMPD3,0,0,0,0,8,1,0,1,0,10,10,10
ANKRD27,0,0,0,0,10,0,0,0,0,10,10,10
ANO6,0,0,0,0,7,2,0,1,0,10,10,10
APBA1,0,1,0,0,8,1,0,0,0,10,10,10
APOBEC1,1,1,0,0,8,0,0,0,0,10,10,10
APPL2,0,0,0,0,9,1,0,0,0,10,10,10
ARHGAP6,1,0,0,0,8,0,0,1,0,10,10,10
ATG4C,0,0,0,0,9,0,0,1,0,10,10,10
ATG7,0,0,0,0,8,1,0,1,0,10,10,10
ATP2C1,0,0,0,0,8,2,0,0,0,10,10,10
BEST3,0,0,0,0,9,1,0,0,0,10,10,10
BPIFB1,0,0,0,0,9,0,0,1,0,10,10,10
BRD4,0,0,0,0,10,0,0,0,0,10,10,10
C11orf63,0,0,0,0,9,0,0,1,0,10,10,10
C16orf62,0,0,0,0,6,1,0,1,2,10,10,10
CA11,0,0,0,0,9,0,0,1,0,10,10,10
CABIN1,0,0,0,0,8,2,0,0,0,10,10,10
CATSPERB,0,0,0,0,10,0,0,0,0,10,10,10
CCDC180,0,0,0,0,8,1,0,1,0,10,10,10
CCDC38,1,1,0,0,8,0,0,0,0,10,10,10
CCDC74B,1,0,0,0,9,0,0,0,0,10,10,10
CCR6,0,0,0,0,10,0,0,0,0,10,10,10
CD207,0,0,0,0,9,1,0,0,0,10,10,10
CDC42BPG,0,0,0,0,9,0,0,1,0,10,10,10
CDC6,1,0,0,0,9,0,0,0,0,10,10,10
CDH17,1,0,0,0,9,0,0,0,0,10,10,10
CEP104,0,0,0,0,9,1,0,0,0,10,10,10
CERK,0,0,0,0,7,3,0,0,0,10,10,10
CETN1,0,0,0,0,9,1,0,0,0,10,10,10
